68,95
95,117
96,118
97,118
98,118
99,119
100,119
101,119
102,119
138,120
139,120
140,120
141,120
142,120
143,120
144,120
175,131
176,131
177,132
178,133
179,133
180,134
192,148
193,149
193,150
194,151
194,152
194,153
194,154
195,180
194,180
195,181
195,182
195,183
195,184
195,185
195,186
203,223
203,225
204,228
204,230
204,231
205,233
205,234
205,235
205,236
208,239
209,239
212,240
213,240
214,241
215,241
216,242
217,242
226,248
227,248
228,249
229,250
230,250
231,251
240,259
241,260
242,261
243,261
244,262
245,262
295,277
